ID_pieza,ID_pedido,Cantidad
piezCem010MoCon,pedi591994,9
piezLla553MrHer,pedi601676,7
piezAce580VeCos,pedi015529,4
piezPre373AzAli,pedi702682,9
piezPCs508MrInf,pedi226345,1
piezTal276BlHer,pedi162868,6
piezArm681MrMob,pedi638268,7
piezRat292AmInf,pedi677691,5
piezLla553MrHer,pedi479404,2
piezRat292AmInf,pedi782944,5
piezAur997MrInf,pedi677691,4
piezSna300MoAli,pedi677691,1
piezCla073AzCon,pedi677691,6
piezHil739RjMer,pedi677691,2
piezImp826NgInf,pedi677691,1
piezCin152RjMer,pedi677691,4
piezHdc064BlCon,pedi677691,4
piezCre369RsCos,pedi677691,6
piezEsc048RsMob,pedi677691,4
piezEnc982AzMer,pedi677691,2
piezVer249RsAli,pedi677691,5
piezSil957BlMob,pedi677691,1
piezCar392NaAli,pedi677691,1
piezCin811RsMer,pedi677691,2
piezCar392NaAli,pedi677691,3
piezGaR740NgInf,pedi677691,1
piezMaf552MoCos,pedi677691,10
piezVer249RsAli,pedi677691,2
piezSil048NaMob,pedi677691,1
piezAur997MrInf,pedi677691,2
piezCin811RsMer,pedi677691,1
piezMar824AmHer,pedi677691,5
piezLám826AmMob,pedi677691,1
piezCab198NgInf,pedi677691,9
piezEst491NgMob,pedi677691,8
piezPin635NgCon,pedi677691,7
piezMaf552MoCos,pedi677691,5
piezPin770MrHer,pedi677691,8
piezMon404NaInf,pedi677691,2
piezSil957BlMob,pedi677691,2
piezCha602AzCos,pedi677691,6
piezNiv200MrHer,pedi677691,5
piezMaf552MoCos,pedi677691,8
piezAce580VeCos,pedi677691,10
piezLác034MoAli,pedi677691,9
piezEnc982AzMer,pedi677691,6
piezYes811VeCon,pedi677691,6
piezTec974RsInf,pedi677691,4
piezTal276BlHer,pedi677691,10
piezMaq810VeCos,pedi677691,6
piezMdn355NgMob,pedi677691,2
piezMdn355NgMob,pedi677691,7
piezTec974RsInf,pedi677691,1
piezAur997MrInf,pedi677691,6
piezCin152RjMer,pedi677691,8
piezCom925BlInf,pedi677691,2
piezLla553MrHer,pedi677691,7
