ID_pedido,ID_proveedor,Fecha
pedi969424YUPNDV,provMed974GE,13/12/2023
pedi424530WCJODS,provIHG285UK,13/12/2023
pedi289523JOYBMV,provGlH552IR,13/12/2023
pedi708311WKKSUD,provItT973IR,13/12/2023
pedi266202DMFLOF,provAeS390SP,13/12/2023
pedi384056RTDAYX,provJaP519IR,13/12/2023
pedi725626JBAMZT,provRep680SP,13/12/2023
pedi756510RMXZFU,provWHS895UK,13/12/2023
pedi830405ZUGVLJ,provKer538FR,13/12/2023
pedi857847RKQPPH,provCVS331IT,13/12/2023
pedi816292TAMILE,provMIT345UK,13/12/2023
pedi916806MIGZNM,provDiS852IT,13/12/2023
pedi971588NPNGEC,provMTS383IT,13/12/2023
pedi169479KHZQYU,provItS117IT,13/12/2023
pedi486267RCVFMY,provMTS383IT,13/12/2023
pedi025556WHYRPM,provRhe908GE,13/12/2023
pedi398939CUGSVJ,provRhe908GE,13/12/2023
pedi306842FHNWTD,provMaB403FR,13/12/2023
pedi658865FXTMQE,provDeH040GE,13/12/2023
pedi295722IKIBVF,provL&G692UK,13/12/2023
pedi874434NWDBHF,provARG749FR,13/12/2023
pedi777395ANLFZX,provNaG379UK,13/12/2023
pedi010203TMUNUA,provCZM401GE,13/12/2023
pedi276406ZNBWAA,provCZM401GE,13/12/2023
pedi571698QAWPLM,provERS868IT,13/12/2023
pedi560414ISSUSI,provKer538FR,13/12/2023
pedi167531ORDTHL,provKer538FR,13/12/2023
pedi690987GQMTCO,provDeo025SP,13/12/2023
pedi823485LZXVAW,provNaG379UK,13/12/2023
pedi906167OFLNDL,provSmG881UK,13/12/2023
pedi683279PTMRKL,provSco203GE,13/12/2023
pedi377830KXKIJG,provBAS169UK,13/12/2023
pedi739461VWWIEL,provTec139UK,13/12/2023
pedi988682DBBPCI,provTec139UK,13/12/2023
pedi527816YOTQHQ,provAnA564UK,13/12/2023
pedi399707FRXEBP,provAnA564UK,13/12/2023
pedi557662TPDYNF,provACd256SP,13/12/2023
pedi727205SJQDVE,provBSS154IT,13/12/2023
pedi011663DSRCUP,provFra052GE,13/12/2023
pedi037422DLZTXJ,provAnt183SP,13/12/2023
pedi725142IWMWCZ,provFlu875SP,13/12/2023
pedi852364MXMYNP,provSJP885UK,13/12/2023
pedi990423PCKKIR,provEmS884IT,13/12/2023
pedi539446NPPPCP,provKoD707IR,13/12/2023
pedi091199OIYQHS,provRGd219FR,13/12/2023
pedi575840ZQIXHT,provIsS049IT,13/12/2023
pedi714418OZZFIL,provCoG896UK,13/12/2023
pedi354364ZHCGHB,provVIV773GE,13/12/2023
pedi276894GKSWAB,provAiA382UK,13/12/2023
pedi530439HLIBIE,provCoG656UK,13/12/2023
pedi200673WEMHXU,provLec397GE,13/12/2023
pedi326546ZTUTJK,provCoG656UK,13/12/2023
pedi981274PQPEFW,provJMS318FR,13/12/2023
pedi245103UGJLCL,provCES999IT,13/12/2023
pedi187745MSZGPF,provHiP432UK,13/12/2023
