iter	Passed	Remaining
0	334	33121
1	380	18632
2	569	18415
3	688	16528
4	886	16838
5	1073	16824
6	1260	16746
7	1462	16818
8	1668	16871
9	1843	16593
10	2021	16358
11	2209	16203
12	2404	16091
13	2601	15981
14	2781	15760
15	2957	15528
16	3150	15381
17	3328	15162
18	3517	14994
19	3705	14823
20	3896	14660
21	4075	14449
22	4250	14230
23	4444	14074
24	4620	13862
25	4805	13677
26	4995	13506
27	5179	13317
28	5371	13150
29	5552	12956
30	5743	12783
31	5795	12315
32	5989	12161
33	6162	11963
34	6340	11774
35	6521	11594
36	6706	11419
37	6887	11237
38	7069	11057
39	7246	10869
40	7426	10686
41	7606	10504
42	7801	10342
43	7975	10150
44	8172	9988
45	8363	9817
46	8553	9645
47	8743	9472
48	8938	9303
49	9117	9117
50	9162	8802
51	9352	8633
52	9546	8465
53	9564	8147
54	9739	7968
55	9923	7797
56	10090	7612
57	10274	7440
58	10463	7271
59	10649	7099
60	10840	6931
61	11017	6752
62	11191	6572
63	11367	6394
64	11550	6219
65	11732	6043
66	11914	5868
67	12090	5689
68	12270	5512
69	12442	5332
70	12617	5153
71	12811	4982
72	12991	4804
73	13172	4628
74	13363	4454
75	13553	4279
76	13734	4102
77	13921	3926
78	14108	3750
79	14313	3578
80	14500	3401
81	14667	3219
82	14856	3042
83	15043	2865
84	15219	2685
85	15393	2505
86	15586	2329
87	15652	2134
88	15846	1958
89	16028	1780
90	16218	1604
91	16415	1427
92	16586	1248
93	16769	1070
94	16958	892
95	17136	714
96	17340	536
97	17527	357
98	17719	178
99	17911	0
